distance,height
0.0,0.004123057840858382
0.01,0.006293845927443422
0.02,0.004572905120229405
0.03,-0.0018174974680504226
0.04,-0.0007225229386074554
0.05,-0.004364253903404945
0.06,0.0049252172093868
0.07,-0.007593957856877925
0.08,0.0004553478503981183
0.09,0.008366655089187337
0.1,0.0029038943340527253
0.11,0.0013806304137921454
0.12,-0.003666630297879723
0.13,0.007325952031910726
0.14,-0.0011382601403387687
0.15,-0.0034149346026984117
0.16,-0.006450024615018832
0.17,-0.006869811372399497
0.18,-0.0021335765005341956
0.19,-0.0064806707229933735
0.2,0.004556314169086284
0.21,-0.00023768191390528132
0.22,0.0002607990979658272
0.23,-0.005171293084618398
0.24,0.001978467161716466
0.25,0.0069294469471051934
0.26,0.006898474368226092
0.27,-0.003366526350004691
0.28,-0.005544347637242462
0.29,-0.00035503853585027584
0.3,-0.001776528233106825
0.31,-0.009662428486771036
0.32,-0.0022941850351700134
0.33,-0.0020843262398787202
0.34,-0.0017553916520284835
0.35000000000000003,-0.002505690457465395
0.36,-0.008255560870607036
0.37,0.002866859995804237
0.38,-0.004131511324874817
0.39,0.0028007567176488203
0.4,0.00689413576325904
0.41000000000000003,-0.0009110252328574098
0.42,0.003933137269812552
0.43,-0.006762923721922777
0.44,-0.0021595048052911285
0.45,-0.00285115761307817
0.46,0.002788074980069683
0.47000000000000003,0.008257830398999305
0.48,0.002167800058103877
0.49,0.008236524016672667
0.5,0.008346432391620194
0.51,0.007085408232410594
0.52,-0.006645312892058635
0.53,0.00222469329523523
0.54,0.0004526001438022089
0.55,0.007803402563864576
0.56,-0.005324031867959093
0.5700000000000001,-0.008002373748093608
0.58,0.0034292508083644396
0.59,0.008492490459671714
0.6,0.009588960897804649
0.61,0.0014562663751223788
0.62,0.004276610251104308
0.63,-0.004209477847073029
0.64,-0.0017136128982747495
0.65,-0.008383796321737799
0.66,0.009785934673542536
0.67,-0.004015208817172274
0.68,0.008021193527804766
0.6900000000000001,0.009735234983868005
0.7000000000000001,-0.008125700020789882
0.71,0.0025031522178129983
0.72,-0.006775999533313443
0.73,-0.006375453796529483
0.74,-0.008424507018529948
0.75,0.000612713286947
0.76,0.006458226500431307
0.77,0.003754965470378655
0.78,0.007035224948478464
0.79,-0.002323124408540274
0.8,-0.004714587573337381
0.81,-0.003002241083767179
0.8200000000000001,-0.00558893113938072
0.8300000000000001,0.0027189994746599066
0.84,0.006528186504063662
