distance,height
0.0,-0.0025091976230527504
0.01,0.009014286128198325
0.02,0.0046398788362281024
0.03,0.0019731696839407325
0.04,-0.006879627191151269
0.05,-0.006880109593275947
0.06,-0.00883832775663601
0.07,0.007323522915498705
0.08,0.002022300234864176
0.09,0.00416145155592091
0.1,-0.009588310114083952
0.11,0.009398197043239886
0.12,0.006648852816008436
0.13,-0.005753217786434477
0.14,-0.006363500655857988
0.15,-0.006331909802931324
0.16,-0.003915155140809245
0.17,0.000495128632644757
0.18,-0.0013610996271576845
0.19,-0.004175417196039162
0.2,0.0022370578944475895
0.21,-0.007210122786959164
0.22,-0.004157107029295637
0.23,-0.0026727631341261658
0.24,-0.0008786003156592819
0.25,0.005703519227860271
0.26,-0.0060065243568328056
0.27,0.00028468876827223225
0.28,0.0018482913772408498
0.29,-0.009070991745600046
0.3,0.002150897038028768
0.31,-0.00658951752625417
0.32,-0.00869896814029441
0.33,0.008977710745066666
0.34,0.009312640661491187
0.35000000000000003,0.006167946962329222
0.36,-0.003907724616532587
0.37,-0.008046557719872323
0.38,0.0036846605302431387
0.39,-0.0011969501252079746
0.4,-0.007559235303104424
0.41000000000000003,-9.646179777459546e-05
0.42,-0.009312229577695633
0.43,0.008186408041575643
0.44,-0.0048244003679996615
0.45,0.003250445687079639
0.46,-0.003765778478211781
0.47000000000000003,0.00040136042355621605
0.48,0.000934205586865593
0.49,-0.00630291088948946
0.5,0.009391692555291173
0.51,0.005502656467222292
0.52,0.008789978831283784
0.53,0.007896547008552976
0.54,0.0019579995762217025
0.55,0.008437484700462338
0.56,-0.00823014995896161
0.5700000000000001,-0.0060803427516170966
0.58,-0.009095454221789239
0.59,-0.003493393384734713
0.6,-0.0022264542062103597
0.61,-0.004573019364522082
0.62,0.006574750183038587
0.63,-0.002864933466128214
0.64,-0.004381309806252385
0.65,0.0008539216631649697
0.66,-0.007181515500504747
0.67,0.006043939615080792
0.68,-0.008508987126404584
0.6900000000000001,0.009737738732010346
0.7000000000000001,0.005444895385933148
0.71,-0.006025686369316552
0.72,-0.009889557657527952
0.73,0.006309228569096685
0.74,0.004137146876952342
0.75,0.004580143360819746
0.76,0.005425406933718915
0.77,-0.008519106965318194
0.78,-0.002830685429114548
0.79,-0.007682618809497405
0.8,0.007262068517511872
0.81,0.002465962536551158
0.8200000000000001,-0.0033820395029470164
0.8300000000000001,-0.008728832994279527
0.84,-0.0037803535656867563
0.85,-0.0034963335594650593
0.86,0.004592123566761282
0.87,0.002751149427104263
0.88,0.007744254851526531
0.89,-0.0005557014967610147
0.9,-0.007608115081233966
0.91,0.004264895744459899
0.92,0.005215700972337948
0.93,0.0012255439513899243
0.9400000000000001,0.005419343599091219
0.9500000000000001,-0.00012408807271218486
0.96,0.00045465658763988066
0.97,-0.001449179632829008
0.98,-0.009491617465118096
0.99,-0.007842171460133912
1.0,-0.009371416286265316
1.01,0.0027282082252756083
1.02,-0.003712880378473467
1.03,0.00017141382329405493
1.04,0.008151329478521862
1.05,-0.005014155417022501
1.06,-0.0017923415392874058
1.07,0.005111022770860974
1.08,-0.005424036690167551
1.09,-0.00846040180342414
1.1,-0.00420497094172464
1.11,-0.006775574254919912
1.12,0.00859395304685146
